image_filename,게시물수,팔로워수,팔로잉수,촬영 구도,사진 종류,반려동물,색감_분위기_통합,고유한 특징
_girinee_01.jpg,187,6666,278,반신샷,독사진,없음,"로맨틱한, 부드러운, 자연스러운, 차분한","자연광 활용, 계절감 느껴짐"
a_meifilm_01.jpg,30,817,712,반신샷,"우정사진,가족사진",없음,"밝은, 상쾌한",교복
camengzzi_01.jpg,528,2.6만,251,"반신샷,전신샷","독사진,가족사진",없음,"따뜻한, 편안한, 행복",자연광 사용
a_meifilm_02.jpg,30,817,712,"근접샷,반신샷","우정사진,독사진",없음,"감성적, 부드러운, 상쾌한, 자연스러운","클로즈업, 자연광 활용"
a_meifilm_03.jpg,30,817,712,"근접샷,전신샷","우정사진,독사진",없음,"감성적, 부드러운, 자연스러운, 청량한","아날로그 필터 느낌, 자연광 활용"
a_meifilm_04.jpg,30,817,712,"근접샷,반신샷",독사진,없음,"부드럽고 따뜻한, 자연스러운, 편안한","인물 중심, 아늑한 느낌"
albin_snap_01.jpg,87,1153,355,반신샷,독사진,없음,"부드러운, 빈티지",아날로그 느낌
bbakkjji_01.png,1807,8830,905,"근접샷,반신샷",독사진,없음,"감성적, 부드러운, 자연스러운, 차분한","간결함, 미니멀리즘"
camengzzi_01.jpg,528,2.6만,251,"반신샷,전신샷","독사진,가족사진",없음,"따뜻한, 편안한, 행복",자연광 사용
chaeleeshfilm_03.jpg,49,278,82,반신샷,커플사진,강아지,"따뜻한, 자연스러운","일상적, 감성적"
chaeleeshfilm_04.jpg,49,278,82,반신샷,커플사진,강아지,"따뜻한, 로맨틱한, 부드러운, 편안한",자연광 활용
dareum_mihak_01.jpg,243,4459,975,"반신샷,근접샷",독사진,없음,"감성적, 따뜻한, 빈티지, 자연스러운, 포근한","일상적 감성, 소프트 포커스"
dearness.pic_01.jpg,376,2696,569,"반신샷,근접샷",독사진,없음,"따뜻한, 부드러운, 아늑한, 편안한","아티스틱, 감성적인"
dearness.pic_02.jpg,376,2696,569,반신샷,독사진,없음,"따뜻한, 부드러운, 아늑한, 편안한","빈티지 무드, 따스한 일상"
eddey_film_03.jpg,84,1089,431,반신샷,독사진,없음,"감성적, 따뜻한, 몽환적, 부드러운","흐릿한 초점, 빛의 활용"
eddey_film_04.jpg,84,1089,431,"반신샷,전신샷",커플사진,없음,"감성적, 따뜻한, 로맨틱한, 소프트한","흐릿한 효과, 반사 사용"
ehoomarchive_02.jpg,266,723,70,"반신샷,전신샷",커플사진,없음,"따뜻한, 부드러운, 자연스러운, 친밀한","일상적, 감성적"
ehoomarchive_03.jpg,266,723,70,반신샷,"우정사진,독사진",없음,"따뜻한, 자연스러운, 차분한, 흑백","자연광 사용, 일상적인 순간 포착"
ehoomarchive_04.jpg,266,723,70,"근접샷,전신샷","커플사진,독사진",없음,"따뜻한, 밝은, 자연스러운, 행복",자연 속 사람들
eunp_ic_01.jpg,422,1.3만,197,근접샷,독사진,없음,"감성적, 부드러운, 자연스러운, 포근한","몽환적, 자연 광 사용"
fineflower_snap_02.jpg,294,3350,342,"반신샷,전신샷",커플사진,없음,"따뜻한, 로맨틱한",자연스러운 빛 사용
fineflower_snap_03.jpg,294,3350,342,"반신샷,전신샷",우정사진,없음,"따뜻한, 밝은, 자연스러운, 즐거운","자연광 활용, 생동감 있는 포즈"
fineflower_snap_04.jpg,294,3350,342,"반신샷,근접샷",독사진,없음,"밝은, 부드러운, 자연스러운, 캐주얼","투명 우산, 자연 배경"
from.sulmood_01.jpg,201,2.2만,260,"반신샷,전신샷",커플사진,없음,"따뜻한, 로맨틱한, 일상적인, 자연스러운","소소한 순간 포착, 개성적인 요소"
he.da0_01.png,144,4339,934,"반신샷,근접샷",독사진,없음,"몽환적, 부드러운, 자연스러운, 파스텔","은은한 빛, 소품을 활용한 자연적인 배경"
he.da0_02.png,144,4339,934,"반신샷,근접샷",독사진,없음,"감성적, 따뜻한",부드러운 빛 처리
horang_pic_01.jpg,565,2만,387,반신샷,독사진,없음,"로맨틱, 부드러운, 소프트, 파스텔","자연 배경, 꽃"
horang_pic_02.jpg,565,2만,387,반신샷,독사진,없음,"경쾌한, 부드러운, 상쾌한, 파스텔","감성적, 자연스러운"
jipi__snap_01.jpg,22,726,349,반신샷,독사진,없음,"따뜻한, 자연스러운, 평화로운, 햇살","자연광 사용, 아웃도어"
jipi__snap_02.jpg,22,726,349,반신샷,"우정사진,커플사진",없음,"따뜻한, 부드러운, 자연스러운, 편안한","햇살, 화사함"
jjang_precious_01.png,127,525,682,반신샷,독사진,없음,"무채색, 시크한, 어두운",그레인 효과
jjang_precious_02.png,127,525,682,반신샷,독사진,없음,"따뜻한, 부드러운, 아늑한, 친근한","자연스러움, 빈티지 느낌"
joy_film____01.jpg,448,1702,595,반신샷,독사진,없음,"감성적, 따뜻한, 자연스러운, 즐거운, 포근한, 흑백","부드러운 톤, 자연스러운 포즈"
joy_film____02.jpg,448,1702,595,근접샷,독사진,없음,"감성적, 따뜻한, 몽환적, 부드러운",자연스러움/낭만적
joy_film____03.jpg,448,1702,595,근접샷,독사진,없음,"감성적, 따뜻한, 부드러운, 자연스러운","일몰, 자연광"
kimbokming_film_02.jpg,486,8470,188,"반신샷,전신샷",독사진,없음,"고요, 부드러운, 서정적, 자연, 차분한, 초록","감성적, 자연 배경"
kimi.snap_01.jpg,117,438,31,"반신샷,전신샷",독사진,없음,"밝은, 싱그러운, 자연, 화사한",자연 속 인물 강조
luce__film_01.jpg,135,1360,779,"반신샷,근접샷",독사진,없음,"부드러운, 상큼한, 자연스러운, 청초한","자연적 배경, 여성적인 느낌"
luce__film_02.jpg,135,1360,779,반신샷,독사진,없음,"부드러운, 상쾌한, 자연적, 평화로운",자연을 배경으로 한 초상 사진
manzi_zak_01.jpg,179,4201,388,"근접샷,전신샷",독사진,없음,"부드러운, 여유로운, 자연적, 편안한","자연광, 친근함"
mozzipic__01.jpg,1150,3.7만,61,"근접샷,반신샷",독사진,없음,"따뜻한, 자연스러운",부드러운 빛
nung2_photo_01.jpg,74,734,367,반신샷,"커플사진,독사진",없음,"따뜻한, 부드러운, 자연스러운, 편안한","일상적, 자연광 활용"
o_neu_l_01.jpg,155,3973,549,반신샷,독사진,없음,"밝은, 생동감, 자연스러운, 화사한",따뜻한 일상 느낌
o_oneul.photo_01.jpg,204,4201,1318,"근접샷,반신샷",독사진,없음,"로맨틱한, 밝은, 부드러운","환상적인 요소, 자연광"
o_oneul.photo_02.jpg,204,4201,1318,근접샷,독사진,없음,"밝은, 부드러운","자연광, 화사함"
odeforlove_01.jpg,199,2258,385,"근접샷,반신샷",독사진,강아지,"따뜻한, 부드러운",자연광 사용
one.pieceof_memory_01.jpg,127,1873,2183,"근접샷,반신샷",커플사진,없음,"따뜻한, 로맨틱한, 부드러운, 사랑스러운",커플의 자연스러운 감정 표현
only.grapher_01.png,911,5.1만,699,반신샷,"독사진,커플사진",없음,"밝은, 상쾌한, 여유로움, 청명한","하늘 배경, 자연 요소"
only.grapher_02.png,911,5.1만,699,"근접샷,반신샷",독사진,없음,"따뜻한, 부드러운, 산뜻한, 자연스러운","야외 촬영, 청량함"
our_daymoon_01.jpg,58,410,51,"근접샷,전신샷",커플사진,없음,"따뜻한, 로맨틱한, 밝은, 상냥함","자연광 사용, 부드러운 색조"
our_daymoon_02.jpg,58,410,51,"반신샷,전신샷",커플사진,없음,"따뜻한, 로맨틱한, 밝은, 화사한",벚꽃을 배경으로 한 사진
our_daymoon_03.jpg,58,410,51,"근접샷,전신샷",커플사진,없음,"따뜻한, 로맨틱한",자연스러움
ourownfilm_01.jpg,15,49,17,"근접샷,전신샷",독사진,없음,"감성적, 부드러운, 파스텔, 포근한","자연광, 차분함"
ourownfilm_02.jpg,15,49,17,"근접샷,전신샷",커플사진,없음,"따뜻한, 로맨틱한","일상적, 자연스러운"
peach_film_01.jpg,135,1777,916,근접샷,독사진,없음,"감성적, 따뜻한, 몽환적, 선명한","인물 중심, 표현적"
peach_film_02.jpg,135,1777,916,"근접샷,반신샷",독사진,없음,"강렬한 대비, 신비로운, 어두운","드라마틱한 연출, 강렬한 표정"
peach_film_03.jpg,135,1777,916,"근접샷,전신샷",독사진,없음,"따뜻한, 신비로운, 차분한, 포근한","자연스러움, 감성적"
phokoism_01.png,172,1만,498,근접샷,독사진,없음,"로맨틱한, 밝은, 부드러운, 상큼한","자연광 사용, 감성 표현"
phokoism_02.png,172,1만,498,"반신샷,전신샷",독사진,없음,"자연스러운, 청순한, 평화로운","부드러운 조명, 자연 배경"
repeat_pic_01.jpg,306,7618,411,"근접샷,전신샷",커플사진,없음,"감성적, 따뜻한, 로맨틱한, 자연스러운","일상적 장소 활용, 자연과의 조화"
repeat_pic_02.jpg,306,7618,411,"근접샷,반신샷",커플사진,없음,"따뜻한, 로맨틱한, 부드러운, 자연스러운",자연광 활용
repeat_pic_01.jpg,306,7618,411,"근접샷,반신샷",독사진,없음,"따뜻한, 밝은",벚꽃 배경
repeat_pic_02.jpg,306,7618,411,"반신샷,전신샷",독사진,없음,"부드러운, 여유로운, 자연스러운, 편안한",감성적인 연출
reum_my_01.png,1596,1.5만,1501,"근접샷,반신샷",독사진,강아지,"따뜻한, 부드러운, 자연스러운, 차분한","필름 감성, 자연 조명 활용"
reum_my_02.png,1596,1.5만,1501,"근접샷,반신샷",독사진,없음,"따뜻한, 부드러운",자연광 활용
second_utopia_01.png,45,2816,146,근접샷,독사진,없음,"따뜻한, 자연스러운",부드러운 조명
seor.oom_01.jpg,143,5995,374,"반신샷,전신샷","커플사진,독사진",없음,"따뜻한, 자연스러운",일상적
seoro.snap_01.jpg,62,679,421,"반신샷,전신샷",커플사진,없음,"로맨틱한, 부드러운",자연스러움
slooow_poto_01.jpg,227,5068,475,"반신샷,전신샷",독사진,없음,"경쾌한, 따뜻한, 자연스러운, 자유로운",빈티지 느낌
springsnap__01.jpg,83,1255,1067,"반신샷,전신샷",독사진,없음,"따뜻한, 밝은, 자연스러운, 편안한","부드러운 초점, 자연광 사용"
ted_opic_01.png,406,1.1만,753,반신샷,독사진,없음,"따뜻한, 빈티지, 자연스러운, 편안한","필름 느낌, 일상적"
tobiya_pic_01.jpg,307,1159,142,반신샷,독사진,없음,"따뜻한, 몽환적, 밝은, 부드러운","자연 채광, 소프트한 톤"
tobiya_pic_02.jpg,307,1159,142,반신샷,독사진,없음,"감성적, 밝은, 자연스러운, 편안한",일상적인 순간 포착
verachino.photo_01.jpg,433,1574,870,"반신샷,전신샷",독사진,없음,"고독한, 도회적인, 따뜻한, 차분한","빈티지 느낌, 세련된 스타일"
verachino.photo_02.jpg,433,1574,870,반신샷,독사진,없음,"감성적, 따뜻한, 자연스러운, 차분한","비 오는 배경, 전철, 그물"
wamel_pic_01.jpg,1330,4.8만,398,"근접샷,반신샷","독사진,커플사진",없음,"감성적, 로맨틱한, 부드러운, 자연스러운","빛 활용, 감성적인 포즈"
wamel_pic_01.png,1330,4.8만,398,반신샷,독사진,없음,"감성적, 따뜻한, 몽환적, 부드러운","흐릿한 초점, 연한 색조"
